"Latest: Time (min)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)"
0,43.1743762027,29.3905931786
1,43.2440989129,29.4363284931
2,43.1743762027,29.4591961503
3,43.1976171061,29.4363284931
4,43.2208580095,29.4591961503
5,43.2440989129,29.4591961503
6,43.2208580095,29.4591961503
7,43.2208580095,29.4363284931
8,43.2440989129,29.4591961503
9,43.1743762027,29.4591961503
10,43.2440989129,29.4591961503
11,43.2440989129,29.4363284931
12,43.2208580095,29.4363284931
13,43.1976171061,29.4363284931
14,43.2208580095,29.4363284931
15,43.2440989129,29.4363284931
16,43.2208580095,29.4591961503
17,43.1976171061,29.4363284931
18,43.1511352994,29.3677255213
19,43.127894396,29.2762548923
20,43.127894396,29.3905931786
21,43.1511352994,29.4363284931
22,43.127894396,29.4134608358
23,43.1046534926,29.3905931786
24,43.127894396,29.4134608358
25,43.127894396,29.4134608358
26,43.0814125892,29.4134608358
27,43.0814125892,29.4134608358
28,43.0581716858,29.4134608358
29,43.0581716858,29.4363284931
30,43.0814125892,29.4363284931
31,43.0581716858,29.4363284931
32,43.0349307824,29.4134608358
33,43.0349307824,29.4363284931
34,42.9884489756,29.3905931786
35,42.9652080722,29.4134608358
36,42.9884489756,29.4363284931
37,42.9419671688,29.4134608358
38,42.9652080722,29.4134608358
39,42.9419671688,29.4134608358
40,42.9419671688,29.3905931786
41,42.9419671688,29.4134608358
42,42.9419671688,29.3905931786
43,42.9652080722,29.4134608358
44,42.9419671688,29.3905931786
45,42.9419671688,29.3677255213
46,42.9419671688,29.3677255213
47,42.9419671688,29.3677255213
48,42.9419671688,29.3677255213
49,42.9187262654,29.2991225496
50,42.895485362,29.3219902068
51,42.9419671688,29.3219902068
52,42.9187262654,29.3448578641
53,42.9187262654,29.3219902068
54,42.9187262654,29.2762548923
55,42.9187262654,29.3219902068
56,42.8722444586,29.3448578641
57,42.8722444586,29.2991225496
58,42.895485362,29.3219902068
59,42.9187262654,29.2991225496
60,42.8257626519,29.3219902068
61,42.8490035553,29.3219902068
62,42.8025217485,29.2991225496
63,42.8257626519,29.2762548923
64,42.8490035553,29.3219902068
65,42.8025217485,29.3219902068
66,42.7792808451,29.2762548923
67,42.8490035553,29.2762548923
68,42.7327990383,29.2533872351
69,42.7560399417,29.2991225496
70,42.7327990383,29.2762548923
71,42.7327990383,29.2991225496
72,42.7327990383,29.2991225496
73,42.7560399417,29.3219902068
74,42.7560399417,29.3219902068
75,42.6863172315,29.3219902068
76,42.7327990383,29.3448578641
77,42.7560399417,29.2762548923
78,42.7792808451,29.2991225496
79,42.7792808451,29.1847842634
80,42.7792808451,29.2762548923
81,42.7560399417,29.2991225496
82,42.7560399417,29.2762548923
83,42.7560399417,29.2533872351
84,42.7792808451,29.2305195779
85,42.8025217485,29.2305195779
86,42.7327990383,29.1847842634
87,42.7095581349,29.2076519206
88,42.7327990383,29.1619166061
89,42.7095581349,29.1619166061
90,42.7095581349,29.1847842634
91,42.7095581349,29.1847842634
92,42.7095581349,29.1847842634
93,42.6863172315,29.2076519206
94,42.6863172315,29.1847842634
95,42.7095581349,29.1847842634
96,42.7095581349,29.2305195779
97,42.7095581349,29.1847842634
98,42.7792808451,29.2762548923
99,42.7792808451,29.2762548923
100,42.7095581349,29.2991225496
101,42.6863172315,29.4363284931
102,42.7560399417,29.4134608358
103,42.7560399417,29.4134608358
104,42.7792808451,29.4134608358
105,42.8257626519,29.4363284931
106,42.8025217485,29.5049314648
107,42.8257626519,29.5049314648
108,42.8025217485,29.5049314648
109,42.7792808451,29.527799122
110,42.7792808451,29.527799122
111,42.7792808451,29.5049314648
112,42.8025217485,29.4820638075
113,42.8490035553,29.4591961503
114,42.7792808451,29.4591961503
115,42.8025217485,29.4363284931
116,42.8490035553,29.4820638075
117,42.8025217485,29.4591961503
118,42.7792808451,29.4591961503
119,42.7560399417,29.4591961503
120,42.7560399417,29.4591961503
