"Latest: Time (min)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)"
0,46.5184684545,15.88955562
1,46.9986892566,15.7268692963
2,47.5246453732,15.6339056827
3,48.0963368043,15.5874238759
4,48.6222929209,15.5874238759
5,48.8509694934,15.5409420691
6,49.3311902955,15.5641829725
7,49.6970728114,15.5409420691
8,50.0629553273,15.5409420691
9,50.1544259563,15.5177011658
10,50.4517055005,15.5177011658
11,50.7489850447,15.4944602624
12,51.1148675606,15.471219359
13,51.2063381895,15.4479784556
14,51.3206764758,15.4944602624
15,51.5493530482,15.4247375522
16,51.7780296206,15.4479784556
17,52.0295738503,15.4014966488
18,52.2582504228,15.355014842
19,52.3268533945,15.3782557454
20,52.6241329387,15.355014842
21,52.6470005959,15.3085330352
22,52.8756771684,15.3085330352
23,52.9900154546,15.2620512284
24,52.9900154546,15.3085330352
25,53.0128831118,15.3085330352
26,53.0128831118,15.238810325
27,53.0357507691,15.2620512284
28,53.0586184263,15.238810325
29,53.1043537408,15.2620512284
30,53.1043537408,15.238810325
31,53.1729567125,15.2620512284
32,53.0586184263,15.238810325
33,53.1272213981,15.2155694216
34,53.1729567125,15.238810325
35,53.2415596843,15.2155694216
36,53.3330303133,15.2155694216
37,53.3787656277,15.2155694216
38,53.6074422002,15.2155694216
39,53.7217804864,15.2155694216
40,53.8589864299,15.2155694216
41,53.8818540871,15.2155694216
42,53.9733247161,15.2155694216
43,54.0419276878,15.2155694216
44,54.0647953451,15.2155694216
45,54.0647953451,15.2155694216
46,54.0647953451,15.2155694216
47,54.0419276878,15.2155694216
48,53.9275894016,15.238810325
49,54.0419276878,15.2155694216
50,53.9961923733,15.2155694216
51,54.0419276878,15.2155694216
52,54.0876630023,15.2155694216
53,54.0876630023,15.2155694216
54,54.0876630023,15.2155694216
55,54.0647953451,15.1923285183
56,54.0647953451,15.2155694216
57,54.0419276878,15.2155694216
58,54.0876630023,15.2155694216
59,54.0419276878,15.2155694216
60,54.0647953451,15.2155694216
61,54.0647953451,15.2155694216
62,54.0647953451,15.2155694216
63,54.0647953451,15.2155694216
64,54.0876630023,15.2155694216
65,54.0419276878,15.2155694216
66,54.0647953451,15.1923285183
67,54.0647953451,15.1923285183
68,54.0190600306,15.2155694216
69,54.0190600306,15.2155694216
70,53.9275894016,15.1923285183
71,53.8818540871,15.1923285183
72,53.8132511154,15.2155694216
73,53.9504570588,15.1923285183
74,53.9504570588,15.2155694216
75,53.8361187726,15.1923285183
76,53.8589864299,15.1923285183
77,53.7446481436,15.1690876149
78,53.7675158009,15.2155694216
79,53.8361187726,15.1923285183
80,53.8132511154,15.1923285183
81,53.7903834581,15.1923285183
82,53.8818540871,15.1923285183
83,53.8361187726,15.1923285183
84,53.9047217444,15.1923285183
85,54.0419276878,15.1690876149
86,53.9961923733,15.2155694216
87,54.0190600306,15.1923285183
88,53.9275894016,15.2155694216
89,53.9504570588,15.1923285183
90,53.8132511154,15.2155694216
91,53.6531775147,15.1923285183
92,53.6531775147,15.1923285183
